0.16	20.1797	0.087
0.25	20.1797	0.098
0.35	20.1797	0.112
0.45	20.1797	0.115
0.55	20.1797	0.106
0.65	20.1797	0.122
0.75	20.1797	0.117
0.85	20.1797	0.144
0.95	20.1797	0.211
0.16	83.798	0.128
0.25	83.798	0.186
0.35	83.798	0.218
0.45	83.798	0.241
0.55	83.798	0.261
0.65	83.798	0.279
0.75	83.798	0.326
0.85	83.798	0.375
0.95	83.798	0.458
0.16	131.293	0.162
0.25	131.293	0.232
0.35	131.293	0.271
0.45	131.293	0.299
0.55	131.293	0.321
0.65	131.293	0.341
0.75	131.293	0.384
0.85	131.293	0.426
0.95	131.293	0.511
