2	0.9322034786
2.166666667	0.921986245
2.333333333	0.9135354109
2.5	0.9032192352
2.666666667	0.8942061456
2.833333333	0.8830770679
3	0.8705250237
3.166666667	0.8614845475
3.333333333	0.849373248
3.5	0.8404434179
3.666666667	0.8294301193
3.833333333	0.8197919836
4	0.8099438413
4.166666667	0.8008721418
4.333333333	0.7914240645
4.5	0.7817803499
4.666666667	0.7729334959
4.833333333	0.7639979687
5	0.7543387037
5.166666667	0.7461358946
5.333333333	0.7373149579
5.5	0.7286415233
5.666666667	0.7206489838
5.833333333	0.7122693634
6	0.7040101073
6.166666667	0.6962068339
6.333333333	0.6878655837
6.5	0.9922181361
