2	0.9356261712
2.166666667	0.9218108849
2.333333333	0.9103701226
2.5	0.8964023893
2.666666667	0.8842070825
2.833333333	0.8691661947
3	0.8522271036
3.166666667	0.8400403726
3.333333333	0.8237307221
3.5	0.8117240079
3.666666667	0.7969453969
3.833333333	0.7840446527
4	0.7709064238
4.166666667	0.7588458167
4.333333333	0.7463282975
4.5	0.7335961599
4.666666667	0.7219597314
4.833333333	0.710259725
5	0.6976799192
5.166666667	0.6870576133
5.333333333	0.6757010609
5.5	0.6646060538
5.666666667	0.6544486331
5.833333333	0.6438660338
6	0.6335044518
6.166666667	0.623777536
6.333333333	0.6134505208
6.5	1.015369922
